Declaration SAVED by EMPLOYEE17 | 0 days 00:00:00
Declaration SUBMITTED by EMPLOYEE0 | 0 days 00:00:00
Declaration APPROVED by ADMINISTRATION98 | 13 days 23:23:35
Declaration APPROVED by BUDGET OWNER37 | 21 days 18:02:00
Declaration REJECTED by SUPERVISOR65 | 22 days 16:00:53
Declaration REJECTED by EMPLOYEE99 | 25 days 22:36:53
Declaration SUBMITTED by EMPLOYEE67 | 26 days 01:21:21
Declaration APPROVED by ADMINISTRATION68 | 26 days 02:52:42
Declaration REJECTED by BUDGET OWNER100 | 26 days 21:05:33
Declaration REJECTED by EMPLOYEE101 | 32 days 03:52:02
Declaration SUBMITTED by EMPLOYEE46 | 37 days 16:57:34
Declaration APPROVED by ADMINISTRATION81 | 42 days 00:27:33
Declaration APPROVED by BUDGET OWNER82 | 43 days 11:21:22
Declaration FINAL_APPROVED by SUPERVISOR83 | 47 days 07:36:29
Request Payment84 | 47 days 20:02:02
Payment Handled50 | 55 days 16:38:22
Declaration REJECTED by ADMINISTRATION42 | 43 days 07:56:43
Declaration SUBMITTED by EMPLOYEE89 | 107 days 14:21:14
Declaration REJECTED by ADMINISTRATION90 | 107 days 16:39:00
Declaration REJECTED by EMPLOYEE91 | 108 days 14:16:12
Declaration REJECTED by EMPLOYEE43 | 43 days 16:20:43
Declaration SUBMITTED by EMPLOYEE72 | 94 days 06:01:33
Declaration APPROVED by ADMINISTRATION73 | 94 days 06:01:59
Declaration FINAL_APPROVED by SUPERVISOR74 | 95 days 20:02:35
Request Payment75 | 97 days 14:25:58
Payment Handled76 | 100 days 18:28:26
Declaration APPROVED by ADMINISTRATION85 | 57 days 00:58:26
Declaration REJECTED by BUDGET OWNER86 | 57 days 01:50:23
Declaration REJECTED by EMPLOYEE87 | 57 days 06:39:56
Declaration APPROVED by PRE_APPROVER47 | 37 days 18:45:46
Declaration FINAL_APPROVED by SUPERVISOR48 | 38 days 20:39:17
Request Payment49 | 43 days 03:23:35
Declaration APPROVED by BUDGET OWNER69 | 27 days 23:14:48
Declaration FINAL_APPROVED by SUPERVISOR70 | 30 days 13:19:20
Request Payment71 | 32 days 19:22:52
Declaration REJECTED by EMPLOYEE66 | 24 days 05:26:26
Declaration SUBMITTED by EMPLOYEE92 | 24 days 08:55:43
Declaration REJECTED by ADMINISTRATION93 | 24 days 08:57:20
Declaration SUBMITTED by EMPLOYEE78 | 36 days 00:43:35
Declaration REJECTED by ADMINISTRATION79 | 36 days 02:04:37
Declaration REJECTED by EMPLOYEE80 | 37 days 23:20:37
Declaration SUBMITTED by EMPLOYEE41 | 41 days 23:45:32
Declaration APPROVED by BUDGET OWNER14 | 14 days 00:38:36
Declaration REJECTED by SUPERVISOR88 | 18 days 02:20:03
Declaration REJECTED by EMPLOYEE28 | 19 days 06:17:14
Declaration SUBMITTED by EMPLOYEE35 | 20 days 23:29:35
Declaration APPROVED by PRE_APPROVER77 | 23 days 20:50:13
Declaration APPROVED by ADMINISTRATION36 | 20 days 23:40:22
Declaration SUBMITTED by EMPLOYEE29 | 22 days 06:13:33
Declaration APPROVED by ADMINISTRATION30 | 22 days 06:14:58
Declaration FINAL_APPROVED by SUPERVISOR15 | 16 days 11:19:37
Request Payment16 | 19 days 06:49:50
Payment Handled13 | 20 days 11:14:50
Declaration FINAL_APPROVED by SUPERVISOR31 | 22 days 17:57:40
Declaration REJECTED by MISSING45 | 27 days 21:19:18
Request Payment32 | 26 days 01:00:47
Payment Handled33 | 29 days 13:57:41
Declaration REJECTED by ADMINISTRATION34 | 16 days 01:32:18
Declaration REJECTED by PRE_APPROVER58 | 11 days 09:23:57
Declaration REJECTED by EMPLOYEE59 | 11 days 23:54:17
Declaration SUBMITTED by EMPLOYEE97 | 13 days 22:37:24
Declaration SUBMITTED by EMPLOYEE26 | 19 days 02:26:57
Declaration REJECTED by ADMINISTRATION27 | 19 days 04:58:55
